软件搜索的只是火车路径，但同城有可能会使用公交或地铁，因此，为了使软件允许同城使用公交或地铁转车，软件会默认将同城（前几个字相同的）车站连通，并统一间隔60分钟。
如果觉得同城换乘60分钟间隔误差太大，可以在下表中添加同城车站之间的公交或地铁换乘用时。
1条1行，字符串之间间隔tab键（\t），不懂的可以复制1行再修改，每行确保是3列。
建议直接取百度地图或高德地图搜出的最短用时，比如广州南站到广州站最短用时为43分钟。
软件前后趟车次之间会间隔minGap的换乘时间，比如minGap=15，则实际广州南站到广州站倒车留了43+15=58分钟。

车站1	车站2	间隔分钟
广州南	广州	43
广州南	广州东	51
广州南	广州北	97
广州南	新塘	72
广州	广州东	30
广州	广州北	65
广州东	广州北	61
北京	北京西	29
北京	北京南	23
北京	北京东	41
北京	北京北	37
北京西	北京南	25
北京西	北京东	60
北京西	北京北	33
北京南	北京东	59
北京南	北京北	34
北京东	北京北	74
深圳	深圳北	37
深圳	深圳东	30
深圳	福田	33
深圳东	深圳北	25
深圳东	福田	22
深圳北	福田	33
天津	天津西	32
天津	天津南	43
天津	天津北	18
天津西	天津南	46
天津西	天津北	18
天津南	天津北	50
