火车站名	经纬度
阿城	127.003789412489,45.556878256676
阿城北	127.029930012999,45.5949271749482
阿尔山	119.954306560167,47.1782834655168
阿贵图	121.119375489212,31.1534479924578
阿克苏	80.3126457656912,41.1511628877097
阿克陶	75.9816700240055,39.1729051116244
阿拉尔	81.2170784378916,40.5607926590265
阿拉山口	82.579642059359,45.1771349255503
阿勒泰	88.0971660136048,47.7248558348213
阿里河	123.736765010021,50.5866042467104
阿龙山	121.886116871253,51.6929988466038
阿木尔	123.169556405924,52.8673810567829
阿南庄	115.655175758548,38.4288214740858
阿图什	76.2287822816593,39.7262429883585
阿瓦提	80.3783656171401,40.6835486811221
阿寨	102.612038813993,28.7453789258753
埃岱	102.806357566931,29.0307775489575
艾不盖	109.866244425013,41.5362350763499
艾河	103.549636397623,30.4455952986692
艾家村	111.357425912252,30.628142201257
叆河	124.374463297874,40.3446260741271
安次	116.709633266173,39.5261597640405
安达	125.329756131904,46.407531178089
安德	103.818581521544,30.8803485529079
安多	91.6732992384156,32.2568102459349
安富镇	97.3911088501482,37.3211276774614
安广	97.3911088501482,37.3211276774614
安化	111.219492704317,28.3800537487654
安吉	119.686563378756,30.6444247941138
安家	97.3911088501482,37.3211276774614
安江东	103.862584118645,36.0395917397591
安匠	97.3911088501482,37.3211276774614
安靖	97.3911088501482,37.3211276774614
安康	109.09217384842,32.7285627989872
安口窑	106.815338135038,35.2414146129873
安陆	113.695582924153,31.261414994286
安陆西	113.660770980555,31.2608058872101
安庆	117.121282754256,30.5392224768102
安庆沟	117.121282754256,30.5392224768102
安庆西	116.870446930433,30.6783117120844
安仁	113.263029043875,26.7746349474207
安顺	105.954417123889,26.259252378715
安顺西	105.88242799831,26.2040470061381
安塘	97.3911088501482,37.3211276774614
安亭北	121.164745936113,31.3201933834683
安亭西	97.3911088501482,37.3211276774614
安图西	128.905448468137,43.1179169549119
安溪东	118.192425372292,25.061759553382
安阳	114.346309955918,36.1108649731168
安阳东	114.399500421774,36.1059409840149
安州	104.5735550213,31.540750527876
鞍山	123.001372513994,41.1150535969493
鞍山西	123.001372513994,41.1150535969493
昂昂溪	123.822716587996,47.167043111626
昂乃	97.3911088501482,37.3211276774614
敖汉	97.3911088501482,37.3211276774614
敖力布告	114.124563225992,22.5398520253767
敖头	97.3911088501482,37.3211276774614
八达岭长城	116.024066982323,40.3626390503888
八方	97.3911088501482,37.3211276774614
八方山	97.3911088501482,37.3211276774614
八里甸子	121.42076630672,25.1301263112566
八面城	97.3911088501482,37.3211276774614
八面通	97.3911088501482,37.3211276774614
八苏木	97.3911088501482,37.3211276774614
八仙筒	121.06895728399,43.2087509384762
巴楚	78.5562483800255,39.8412783789241
巴东	110.347575291844,31.0480642489597
巴林	97.3911088501482,37.3211276774614
巴山	97.3911088501482,37.3211276774614
巴图营	120.75316175484,41.4789202139593
