2025/12/30 14:54:31
列车朝向北京行驶时（从支线到干线）称为上行，编号为偶数车次，
列车背向北京行驶时（从干线到支线）称为下行，编号为奇数车次。
因此，有些列车会双编号。
本文件由软件自动生成，记录了全国有哪些车次是双编号的。
每行2个车次之间以tab键分隔，允许有任意个空行。
本文件允许修改和添加注释。

C2	C1
C25	C14
C18	C15
C17	C16
C38	C35
C40	C37
C44	C43
C61	C60
C63	C62
C68	C65
C67	C66
C74	C71
C73	C72
C79	C76
C87	C86
C101	C96
C105	C102
C108	C107
C117	C110
C119	C118
C123	C122
C134	C131
C133	C132
C138	C135
C137	C136
C148	C145
C147	C146
C175	C174
C191	C190
C210	C207
C209	C208
C219	C218
C223	C222
C231	C230
C235	C234
C239	C238
C243	C242
C248	C245
C258	C255
C260	C259
C264	C261
C263	C262
C268	C265
C267	C266
C272	C269
C271	C270
C276	C273
C275	C274
C280	C277
C279	C278
C284	C281
C283	C282
C288	C285
C287	C286
C292	C289
C291	C290
C296	C293
C295	C294
C298	C297
C300	C299
C306	C305
C312	C308
C322	C321
C334	C331
C338	C335
C337	C336
C342	C339
C341	C340
C346	C343
C345	C344
C349	C348
C353	C352
C357	C356
C364	C361
C363	C362
C370	C367
C369	C368
C374	C371
C373	C372
C378	C375
C377	C376
C384	C381
C383	C382
C388	C385
C387	C386
C397	C392
C396	C393
C395	C394
C418	C415
C424	C421
C432	C429
C436	C433
C440	C437
C456	C453
C455	C454
C460	C457
C459	C458
C464	C461
C463	C462
C468	C465
C467	C466
C484	C481
C494	C491
C498	C495
C553	C552
C557	C556
C563	C562
C567	C566
C580	C577
C579	C578
C591	C590
C593	C592
C598	C595
C597	C596
C622	C621
C624	C623
C640	C637
C639	C638
C644	C641
C643	C642
C664	C661
C668	C665
C667	C666
C676	C673
C675	C674
C679	C678
C694	C693
C703	C702
C708	C705
C731	C724
C727	C726
C735	C734
C740	C737
C739	C738
C777	C776
C786	C785
C798	C795
C797	C796
C803	C802
C807	C806
C815	C814
C820	C817
C819	C818
C834	C831
C870	C869
C873	C872
C878	C875
C877	C876
C882	C881
C884	C883
C886	C885
C888	C887
C900	C898
C924	C921
C923	C922
C928	C927
C930	C929
C958	C955
C957	C956
C960	C959
C964	C963
C977	C968
C979	C978
C981	C980
C987	C982
C994	C992
C1104	C1101
C1103	C1102
C1108	C1105
C1107	C1106
C1112	C1109
C1111	C1110
C1119	C1118
C1124	C1121
C1123	C1122
C1127	C1126
C1131	C1130
C1136	C1133
C1135	C1134
C1139	C1138
C1154	C1151
C1153	C1152
C1158	C1155
C1157	C1156
C1162	C1159
C1161	C1160
C1174	C1171
C1173	C1172
C1178	C1175
C1177	C1176
C1181	C1180
C1304	C1301
C1303	C1302
C1308	C1305
C1307	C1306
C1312	C1309
C1311	C1310
C1316	C1313
C1315	C1314
C1320	C1317
C1319	C1318
C1326	C1325
C1334	C1331
C1333	C1332
C1338	C1335
C1344	C1341
C1343	C1342
C1348	C1345
C1347	C1346
C1354	C1351
C1353	C1352
C1358	C1355
C1357	C1356
C1362	C1359
C1361	C1360
C1524	C1521
C1527	C1526
C2364	C2361
C2363	C2362
C2368	C2365
C2367	C2366
C2376	C2373
C2375	C2374
C2380	C2377
C2379	C2378
C2383	C2382
C2386	C2385
C2388	C2387
C2390	C2389
C2402	C2401
C2404	C2403
C2406	C2405
C2408	C2407
C2412	C2411
C2414	C2413
C2416	C2415
C2418	C2417
C2424	C2423
C2426	C2425
C2428	C2427
C2430	C2429
C2432	C2431
C2434	C2433
C2436	C2435
C2438	C2437
C2442	C2441
C2446	C2445
C2781	C2780
C2783	C2782
C2785	C2784
C2787	C2786
C2791	C2788
C2793	C2792
C2795	C2794
C2797	C2796
C2799	C2798
C2803	C2802
C2808	C2807
C2814	C2813
C2816	C2815
C2826	C2825
